127.0.0.1 - - [20/May/2020:20:34:54 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [20/May/2020:20:35:42 +0530] "GET /HealthCare/ HTTP/1.1" 404 724
0:0:0:0:0:0:0:1 - - [20/May/2020:20:35:56 +0530] "GET /HealthCare/Patient/PatientAPI HTTP/1.1" 500 4542
0:0:0:0:0:0:0:1 - - [20/May/2020:20:36:42 +0530] "GET /HealthCare/managePatient.jsp HTTP/1.1" 200 4590
0:0:0:0:0:0:0:1 - - [20/May/2020:20:36:42 +0530] "GET /HealthCare/Views/bootstrap.min.css HTTP/1.1" 200 155758
0:0:0:0:0:0:0:1 - - [20/May/2020:20:36:42 +0530] "GET /HealthCare/Components/jquery-3.2.1.min.js HTTP/1.1" 200 86661
0:0:0:0:0:0:0:1 - - [20/May/2020:20:36:42 +0530] "GET /HealthCare/Components/patients.js HTTP/1.1" 200 5248
0:0:0:0:0:0:0:1 - - [20/May/2020:20:37:47 +0530] "GET /HealthCare/Patient/PatientAPI HTTP/1.1" 500 4542
0:0:0:0:0:0:0:1 - - [20/May/2020:20:37:47 +0530] "GET /HealthCare/Patient/PatientAPI HTTP/1.1" 500 4542
0:0:0:0:0:0:0:1 - - [20/May/2020:20:37:48 +0530] "GET /HealthCare/Patient/PatientAPI HTTP/1.1" 500 4542
0:0:0:0:0:0:0:1 - - [20/May/2020:20:37:48 +0530] "GET /HealthCare/Patient/PatientAPI HTTP/1.1" 500 4542
0:0:0:0:0:0:0:1 - - [20/May/2020:20:37:48 +0530] "GET /HealthCare/Patient/PatientAPI HTTP/1.1" 500 4542
0:0:0:0:0:0:0:1 - - [20/May/2020:20:37:48 +0530] "GET /HealthCare/Patient/PatientAPI HTTP/1.1" 500 4542
0:0:0:0:0:0:0:1 - - [20/May/2020:20:37:49 +0530] "GET /HealthCare/Patient/PatientAPI HTTP/1.1" 500 4542
0:0:0:0:0:0:0:1 - - [20/May/2020:20:37:49 +0530] "GET /HealthCare/Patient/PatientAPI HTTP/1.1" 500 4542
0:0:0:0:0:0:0:1 - - [20/May/2020:20:37:49 +0530] "GET /HealthCare/Patient/PatientAPI HTTP/1.1" 500 4542
0:0:0:0:0:0:0:1 - - [20/May/2020:20:37:49 +0530] "GET /HealthCare/Patient/PatientAPI HTTP/1.1" 500 4542
0:0:0:0:0:0:0:1 - - [20/May/2020:20:37:49 +0530] "GET /HealthCare/Patient/PatientAPI HTTP/1.1" 500 4542
0:0:0:0:0:0:0:1 - - [20/May/2020:20:37:50 +0530] "GET /HealthCare/Patient/PatientAPI HTTP/1.1" 500 4542
0:0:0:0:0:0:0:1 - - [20/May/2020:20:38:15 +0530] "GET /HealthCare/Patient/PatientAPI HTTP/1.1" 500 4542
0:0:0:0:0:0:0:1 - - [20/May/2020:20:38:17 +0530] "GET /HealthCare/Patient/PatientAPI HTTP/1.1" 500 4542
0:0:0:0:0:0:0:1 - - [20/May/2020:20:38:18 +0530] "GET /HealthCare/Patient/PatientAPI HTTP/1.1" 500 4542
0:0:0:0:0:0:0:1 - - [20/May/2020:20:38:18 +0530] "GET /HealthCare/Patient/PatientAPI HTTP/1.1" 500 4542
0:0:0:0:0:0:0:1 - - [20/May/2020:20:38:19 +0530] "GET /HealthCare/Patient/PatientAPI HTTP/1.1" 500 4542
